product_id,product_name,card_number,card_release_set,card_rarity,faction,type_1,type_2,progression_class,progression_stage,slots,health,attack,move,activated_1,activated_2,passive_1,passive_2,description,lore,author_name,author_url,date_listed,date_available,card_low_sia,card_high_sia,artwork_low_sia,artwork_high_sia,video_sia,character_sia,novellia_sia
PROD-01F4MK45QJS4WZ1VBZW1A1THD7,Draculi,1,Presale 1,Kinda Rare,Creature,Serpent,,Draculi,1,1,10,3,1,Bite,,Agile,Swim,"The Draculi are swift serpents with protruding and malignant jaws. Amongst their array of teeth lay life draining fangs primed for liquid crimson indulgence. They emerge from the watery void within the Garden of Residues. A red hue envelops the Draculi, enticing prey and preparing them for extinction.","White marble buildings surround the murky waters. Long bodies exit the deep blue, like wide decapitation wires wrapping around and between the trees. They rush around, feeding on the small animals and fish in the Garden of Residues.

I stand atop the tallest bridge. Their eyes meet mine, rich with starvation while they cannibalize each other. A tomato soup paste brews into an increasingly viscous surface.

So dense with gore, I swear I could reach out and stand on it.

So close that I stumble and fall into it.

*Splash.*
",,,2021-05-03T14:00:00-08:00,2021-05-21T23:59:00-08:00,sia://PAFMGeI8LnPf4a59iC_5Zpmbjmp-dxG0lNd2MDLpLqHUsA,sia://AAAnhnDBiBcaDSWVWrsgr-Ndn0ZFWRCyMo-SLrGkhuhPJQ,sia://nABS5UcQ1k3oGfdhPJwWrDMg8FcZGoRwlM4yWxp9g2n1Tg,sia://AAACH2zjl5oOn32HPmU0oD2OgW9shMqM5yubC7D3e554ZA,sia://AACelBf3Z8-trecpMo3ykOTHYXOH1YDgL-iZu2ahcB8lXQ,sia://AADRY1wFKVFoHw0PgbKEhpc1i3m0aO9AlOpMDQKN960Kmg,sia://CAAGS2vvrM04F8K409Ogu_mMNhiqcgH31MeYeN5QeixY4A
PROD-01F4MK4NTCXGVA35CAD7TCHEM8,Iscara the Ten Thousand Guns,2,Presale 1,Kinda Rare,Operator’s Guild,Human,Tainted,Iscara of Grevania,1,2,6,8,1,Rifle,Sure Shot,Operator,Ten Thousand Guns,"Whispers depict the leader of the Operator’s Guild as being possessed by a demonic entity; she is unable to feel the grip of death. The Grevans refuse to acknowledge her humanity, referring to her as Ten Thousand Guns. Children out past dawn is unthinkable, as all know the pretty woman in a dress will rip them from the arms of any hopeless and deranged parent.","The youngest of her friends, and also the only girl amongst them. Jackson used to bully her, but Thomas invited her to play tag with them on multiple occasions. Eventually, she became part of the group.

Having protected her friends from the choice of conscription or execution by the Grevan military, she has a reputation of knowing how to dish out some serious firepower.

She often feels the need to scream, breathlessly shouting into the shivering Aphantasian airs.

Maybe Ten Thousand Guns saw something in her. Maybe that’s why it hasn’t killed her yet.

Iscara’s lying if she says she can control it. It owns her.",,,2021-05-03T14:00:00-08:00,2021-05-21T23:59:00-08:00,sia://PAHNG-zl4o7u9hEmGx2M8NEiARzjaxcOwZ8eVEvELm8hgQ,sia://AADtt_X_4wPUxJXY--YUbceoVFowFjwBIF0mIM-UVMb_Hg,sia://nACxIQkjaFuJFrIPRG8D0xvpd8lIiwFCi9GPGxGk0DWI2A,sia://AACQpOCSLc2vgb0jm8PMf0OgUvR-rezGayTMKVgHO3nV9Q,sia://AAAdPIiD5ZDq8mSQjI7xj4x0mA8Levu5n8sGCzgqo4TGiA,sia://AABzJOJjsiogy16ecitSKgEemphvFJ5wPgFgscgis29mmA,sia://CABQqaaZdC__OrQCe5adcHkv0vlHrwI7p5x7AG2aWHxlFw
PROD-01F4MK4P5SMNGKBF5B7AKN35YD,Alpha Draculi,3,Presale 1,Kinda Rare,Creature,Serpent,,Alpha Draculi,1,2,15,5,2,Lava Blast,Fire Fang,Flame Aura,Lava Trail,"The Draculi prowl beyond the Garden of Residues' waters. Their superior brethren roam the land afar. Accumulated en masse, they writhe during the scout for flesh. Birthed with a rare, fiery genetic mutation, the Alpha Draculi glorify the taste of blood. Their preference for a slow death is evident, often by prolonging the bloodletting of victims within their tightened jaws.","The bushes rattle from something hiding within them. Its long body is perfectly visible beyond the tiny segments of foliage. One could barely call it successful.

It growls, emitting a strong odor of phosphorus.

The bush lights aflame, spooking it. I nearly expect it to attack, but it shies away to another bush, which also bursts into flames.

The Alpha Draculi bashes its head against the grass, taking out its frustration.",,,2021-05-03T14:00:00-08:00,2021-05-21T23:59:00-08:00,sia://vAEZa3CubnveZw_R4WzM4K57w5h0qbOTWMKxEWX_2F5BKw,sia://AAATnuweNhjbpiuF9yzaRVvv8--x_aPTN9cqVNU_uyre5Q,sia://jAC9yNPcFQZrQ5zA0Y23Hw2mMFORFprC_I9dBdqEh3iHeQ,sia://AABuQqiC14Y4IhJD7n6itRLCMA5LftXm9Ig4k39QuCwqpw,,sia://AACoi1kVmBJh7nPhYcFYEu8VHpVQLop69c5nEJmg-gmx2A,sia://AAAG1QULaSR9sguw63RnlyGGDYsygLW8rbHlG-_kcf9IYQ
PROD-01F4MK4PF52A72Y7P77TEPA2CW,Rotakin,4,Presale 1,Kinda Rare,Creature,Energy,,Rotakin,1,1,5,20,1,Explode,Recharge,Illuminate,Fly,"Misshapen orbs of golden light tinge the streets of the Phanamites’ capital city. The poor suffer and succumb to necrosis while the rich embolden themselves with machines. Engineers use the Rotakin to power their inventions: automatons and cybernetic implants alike. Critical for society, yet their origins remain unknown.","It glows like a blow torch expanding in every direction. The crowd disperses away from the miniature star, unable to bear the immense heat of its presence.

The Rotakin seem accustomed to this forced loneliness. They float deliberately above the humans and humanoids beneath them.

A man screams as the curtains blowing out his open apartment window ignite for the third time in a week.",,,2021-05-03T14:00:00-08:00,2021-05-21T23:59:00-08:00,sia://vAHzLwtAfVfp8tIX0NlHKE4BpxxRVtY5qfL52fJ9ABX9VQ,sia://AADUq4GmD8mJ8gkQV3x5FlfcsiMQfhDwrgxVnqiGYcSfiQ,sia://3AE66Lrf3y6_gUbrbk-tpK5a_awdCsIwdLXZ27vMNqGuIQ,sia://AAA2qJG_T_1ICq6ecrkSgrJRO8pzcGh6lRxdovq_gvitBA,sia://AACuYCVZ3RDB6FCySxjB570ZhfaS0ctKYyVgGKq9XrgMSA,sia://AAD8mVEHe4ZLIRMiYr2e0K7KMz4YRB05gwv_o9vdBrZkrg,sia://CAAYltUVFBgocOHYkSIX2ihsdZW7mSUJsWTUqeXvmB0Olg
PROD-01F4MK4PRD20D3Z95T84ZYA0SX,Phanamite Auto-Medic,5,Presale 1,Kinda Rare,Phanamite,Automaton,,Phanamite Auto-Medic,1,2,8,1,2,Heal,Harvest,Area Heal,,"For the Phanamites, every life matters. Despite wealth inequalities, auto-medics prowl the cities of Phanamis and heal the sick. Unless you’re missing a limb, because that’ll cost something.","The hunched over beggar approaches me, seemingly rolling. It looks up, revealing the machine below its baggy, blanket-like clothing.

Its speaker blares as it reaches for me. ""Do you have spare change?""

*Vroom. Vroom.*

""I have refurbished parts for you to try!"" it exclaims excitedly.

A set of cold tools pin me to the city floor, pressing me against the asphalt. They cut through my sternum. *Crunch.* My heart is detached with a few smooth incisions, and the auto-medic steals it away to a compartment within itself. A light glows to show me the library of human organs inside.

""Oh! I'm sorry! I'm out of refurbished parts! Maybe next time!""

I fade away on the ground as it casually rolls away, hunting the homeless.",,,2021-05-12T14:00:00-08:00,2021-05-21T23:59:00-08:00,sia://vABN7pI1yYnqj0xSsbXaHuctE7p7SbOZG6ElOqeH_QEvaQ,sia://AACPDup7qeLxE9oMHYq4mFsEOYOs23LoZWyrwXJVdKi6ig,sia://rAA4BfD1OWRKrzYkxQlzyXoYTYcCzeG0ss75DoYfEGpM4A,sia://AACpv00YMgTfJEm5WiFgoFrKhwvRLKoWkyBvi97xxJAG3g,sia://AAA4MbzuuukeeHfTTDFCSpZrUotwQ1oLtzMn694sVybe_A,sia://AADiGNBy1TXZ4KOd6G3YJ9DAujYIwXeSZLo5jTq8-bACYw,sia://CACIdbnq5ojUSMJ_Dfe0_e40GbYC7atw8QmFaegCZbp-mg
PROD-01F4MK4XRGJV2NR9XNQY9GCPGQ,Laurence the Duelist,6,Presale 1,Not That Rare,Phanamite,Human,Cyborg,Laurence of Phanamis,1,2,12,6,1,Crippling Slash,Serrated Edge,Bloodrush,Autotech,"Weaponized by the Master Engineer, his mecha-blade fuses bone and steel with eradication as its sole purpose. Stories linger of the agony he endured for this bio-reconstruction, but he has never felt serrated steel tearing through his flesh. Laurence has never felt the degradation of defeat.","The arena is in complete silence. She can almost hear the sound of sands moved by the tense wind. She sees a duelist standing in the middle of the arena. He has a mecha-blade and is surrounded by five intimidating opponents.

It's hard for her to read the duelist's expressions. He wears a mask covering half of his face. Yet, she can feel him growing impatient.

When the arena bell rings, two opponents are sliced down viciously in a matter of seconds. He moves swiftly from one to the next, almost like he is dancing with death itself.

There's no ounce of hesitation in his moves. Everything seems planned in his head before the fight even began. He's perfectly choreographed.

After only five seconds, the sand is painted in sticky crimson from the slain corpses.

His last opponent, crawling on the ground with spilled guts and a lost eye, begs for mercy, but the duelist doesn't have any to offer.

It’s her first time in the arena. Being a high-class noble, she's never seen such brutality before. Deep down, she really enjoys it. She has quickly developed an affection for this duelist, but she isn’t the only one. The crowd is already roaring ""Laurence!""",,,2021-05-03T14:00:00-08:00,2021-05-21T23:59:00-08:00,sia://vAHSEdti9-rtdOPjYeIWT2oD-WL_JwgBIWEVExL5kOmgnQ,sia://AADQM7bQMuD3yPCcX-ycR6TQCifVvor9MVmLj0fkL_OXlA,sia://3ABKYDBMkdx0WA642d_bWPIRfSIBXhH_aujWbcpIjrFaOg,sia://AAD-g84KtK7rjisvLOrSb88COrIc5yyTfyI04olkqPWeTA,,sia://AAC42O_yF6onVS6B0udTzZFs3Mm8WTsVv2zvOTnjX1MzAw,sia://AACyHwWXXBphMK8QSzZHD8A1lFf6MBjeM3l24tSvOsI76w
PROD-01F4MK4Y26J6A66YQ1PXH8NXMC,Zragnirr,7,Presale 1,Not That Rare,Creature,Dragon,,Zragnirr,1,4,30,6,3,Lacerate,Chomp,Fly,Swim,"They’re a vile weave of archaic and aquatic reptilian. Their bodies are hardened, eyeless from enduring tsunamis that ravage any soft flesh. They stock the sea stacks surrounding the Operator’s Fortress, bewildering anything that dares to come near. The Operator’s Guild finds it’s safer to evade the giants than stand their ground to fight.","Huge beasts emerge from their deep home in the ocean to hunt from the sea stacks scattered about. Beyond them lies a beautiful Victorian castle, impossible to see through the thick grey fog. Perhaps the Zragnirr are a kind of deliberate, natural guard.

Ships thrash on the violent waves, making their way through the hazy expanse. The smartest of them make a wide berth. One is trying to approach that castle on the largest of the islands in the Zragnirr seas.

*Crunch.*

A huge purple hand reaching from the sky grasps the large merchant ship. The putrid smell of it blends with the gusting winds. It’s a horrible stench, like the islands themselves have a case of infected breath.",,,2021-05-03T14:00:00-08:00,2021-05-21T23:59:00-08:00,sia://PAHBjBfVVMqzHX59PRE5tdmp_KI9VHlDhverHIw25CsHCQ,sia://AAB9b9Hg3HZy1a8udSmHE0AUdErdOQ5OKtjda7XxGn-nrQ,sia://rADYwhupMhfWArDAgKqfmKdulm6oQbCiwidsMx35pMtLnQ,sia://AAC2BVKRKW08QEbPskaTN-00CcnRPOM5nrBeawGWzKSo6Q,sia://AAAAbFbusK5GJ7eaBoEwnu1DzEo7Y1GO575wKaH3Jk7unA,sia://AACKmJfbzsRzQ5vzr_DOcJEUooc39n2xXWItgwVFHIjRhA,sia://CABjUzbDM252KxTBPGpT8NarnRW8_2R5vy-lf_O5TKgXhw
PROD-01F4MK4YAR07BTRSQFHDWNXC55,Illieander,8,Presale 1,Not That Rare,Creature,Insect,,Illieander,1,2,8,1,1,Mandibles,,Poisonous,Fly,"A viscous fluid coats its hypnotizing and multicolour skin. The substance immobilizes victims while the Illieander's poisonous barbs, lining their spine and limbs, shut down their vital organs. The Illieander can take flight to strike from above, or move invisibly among the tall grass, leaving but a split second before their malicious pincers lacerate their prey.","Ouch.

A tiny bug bit me. Instinctively, I swat at it. My hand impacts with something small and gooey.

I inspect my palm, peeling off the dead insect. There's a dotted line of punctured holes. The bite mark is punctuated with a tiny red dot.

It doesn't hurt at first, but in mere minutes, there's a sensation of deep burning. I watch the tiny wounds as they emit white pus, the skin glazing over like some strange bacterial infection.

""I think I need help,"" I mutter.

My legs gear up, itching to walk back to the nearby settlement. Except my muscles don't release, they clench and clench. I convulse, landing face first into the dirt, eating it. Bone deep, I ache. I feel stuck, unable to move my limbs. I pulse my muscles, trying to emit motion.

Until my lungs refuse to breathe.

The panic is red hot as asphyxiation envelops me. I gag on nothing and cease.",,,2021-05-12T14:00:00-08:00,2021-05-21T23:59:00-08:00,sia://PAH4tfaqNSfLgSMGZG-OjkTcQl-4cBORFqXulGL5yUCA8w,sia://AAC8GMM5ZadyKxoF6h_CJEVVjVXuSN94wvyAV_rkGcR_uA,sia://HABf29EdHlxUGUwrjpjlbG6yJHq2XBoW8YxPMbAyHajndw,sia://AACIjGCsLu6f-9jeUia09_Mmp_b8JXCX3rE_FrNejZVypw,https://siasky.net/AADJLzH9vKDX12VEl1K0P6UCggL-M9IgeJcZukGxlDxqGA,https://siasky.net/AAB9zqxpf_Aldncf4wDFMrKTytmTcEeBbqex3UFOkCgUtg,sia://CAA6YatrEbN8ACJIPAb-5R2H3EqUpy2YAdcPMnMHJMesMA
PROD-01F4MK4YKAJ0REHHDY63TTTEWM,Voyin,9,Presale 1,Not That Rare,Creature,Bird,,Voyin,1,2,8,4,1,Swoop,Feign Death,Inedible,Fly,"With fleshless wings, the shuttering sound of tearing cartilage and fracturing bone intensifies as the corpse-like Voyin appear from the skies above. Rotting from within, the stench of decay is inescapable as it approaches in pursuit of consumption. Its stature and morbid emanation leave few predators willing to hunt the Voyin.","She waits for her best friend in the Grevan Forest at their usual spot. Their enthusiasm for nature always leads them to explore.

She hears a hissing scream and something like flapping wings, but like the bones in them are crunching together.

Fear engulfs her, yet she wants to see the origin of the mysterious sound.

Its voice reverberates again, much more powerful this time, followed by total silence.

Frozen, she hears odd sounds of soft, dull chewing, like something eating thick rubber. Following it leads to a tree: a thin barrier between her and whatever this thing is.

The girl peeks and sees the horror of bones. Her heart races. A human sized bird eats something unidentifiable. The bird has no flesh on its wings and its bones are visible. Except its head, the rest is a mixture of melted skin and muscles.

When the bird lifts its gaze, the girl cries out in fear. Its eye sockets are empty. It’s impossible to see where the bird looks, or know if it can see anything at all.",,,2021-05-03T14:00:00-08:00,2021-05-21T23:59:00-08:00,sia://PAH-3INg4ot7SLUp_EYHMSTm4JeJO1zzRXRPR81By7tuPA,sia://AAApanmTw7_Wzso5B6ZVa4W1sFZXJV-DXF5WkKW6LcBcvg,sia://XADr8biaznLUGboT3flRvkp8_XHudzhEZb5NCW-xM14ggg,sia://AACxRuSgzOLJDy2Tx6K78VRCxx_O3jMFvTQuSLiaE_2pwQ,sia://AAD_G-MDOF8Kn1MVxyiHP_fX4dY-gRMi1IFI-2jjbvA9FQ,sia://AABIBjeWIKafnVZkkSXqN3EfE4Q5Cm4Joi-PzDkG1ctSGQ,sia://CAAoj3bYfV1jxsLxRAzSHYTn1b0kEzOB0dTFTlVQI9iTTw
PROD-01F4MK4YVW4JSV717E0XK920AZ,Grevan Ranger,10,Presale 1,Not That Rare,Grevan,Human,Soldier,Grevan Ranger,1,1,10,3,2,Rifle,Grenade,Sadist,,"“Take point, you say? I didn’t survive to be a ranger by being the pointman.” The Grevan rangers aren’t leading anything. They’re for the spoils. A ranger's abilities can usually be inferred from the number of zip ties on his belt.","Iskadiel, the crown operator, stands behind the mass of Grevan troops. A weak glow emanates from her. It’s as if all of reality has a fog over it, with clarity only existing around her.

The Grevan rangers march through a hail of bullets, musket-like rifles in hand.

*Bang! Bang!* A deathly silence partners with metallic sounds of reloading.

Iskadiel cannot focus on so many lives. The bullets warp around the rangers, embedding into their subordinate comrades. The Phanamites must wonder why their bullets seem to run from the leaders in their sights.

""The bullets cannot hurt us! Rush! Rush!"" a ranger screams, spurring on the Grevan horde.",,,2021-05-12T14:00:00-08:00,2021-05-21T23:59:00-08:00,sia://XAFiGUnN-eBT2g69AYBrO9ayal0rfJJfg3zuZNSyroxRQQ,sia://AADtXVjMF7OmZ4xlREk4mrTcHU03RHYfnN6Y-uMJHr5fvw,sia://nACLDCBK3PXz_-xuVvGhNNCf51HIwFXdY3jolC6G8YghZA,sia://AAC2ZT95v6K2BXomoDX6FP6KWMfO6ZgP2Lf20gWe-mC9mw,sia://AACT74a2MPknxcc3HaczlD6TsWRaLGo_3W_4BT0Mm2iM3g,sia://AADhZVXx_UM-n_Vk2UlC-fpCJ5MLH-nYOVzbKUxZiSuHKQ,sia://CAC4f90Gx7oLslgS_KzL2NNzQ1-1baHXwHplvg_VTlI0NQ
